QueryLabel,AttributeName,RelationName,DatabaseName
actor_info,actor_id,a,
actor_info,first_name,a,
actor_info,last_name,a,
actor_info,group_concat,,
actor_info,,,
customer_list,customer_id,cu,
customer_list,concat,,
customer_list,,,
customer_list,last_name,cu,
customer_list,address,a,
customer_list,postal_code,a,
customer_list,phone,a,
customer_list,city,city,sakila
customer_list,country,country,sakila
customer_list,if,,
customer_list,active,,
customer_list,notes,as,
customer_list,store_id,cu,
film_list,film_id,film,sakila
film_list,title,film,sakila
film_list,description,film,sakila
film_list,name,category,sakila
film_list,rental_rate,film,sakila
film_list,length,film,sakila
film_list,rating,film,sakila
film_list,group_concat,,
film_list,,,
film_list,last_name,actor,sakila
film_list,actors,as,
nicer_but_slower_film_list,film_id,film,sakila
nicer_but_slower_film_list,title,film,sakila
nicer_but_slower_film_list,description,film,sakila
nicer_but_slower_film_list,name,category,sakila
nicer_but_slower_film_list,rental_rate,film,sakila
nicer_but_slower_film_list,length,film,sakila
nicer_but_slower_film_list,rating,film,sakila
nicer_but_slower_film_list,group_concat,,
nicer_but_slower_film_list,,,
nicer_but_slower_film_list,lcase,,
nicer_but_slower_film_list,length,,
nicer_but_slower_film_list,concat,,
nicer_but_slower_film_list,actors,as,
sales_by_film_category,name,c,
sales_by_film_category,sum,,
sales_by_store,concat,,
staff_list,staff_id,s,
staff_list,concat,,
staff_list,,,
staff_list,last_name,s,
staff_list,address,a,
staff_list,postal_code,a,
staff_list,phone,a,
staff_list,city,city,sakila
staff_list,country,country,sakila
staff_list,store_id,s,
